ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
000001.SS,ACWI,0.4726336787785614,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs
000001.SS,ARGT,0.3508908243546345,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Global X MSCI Argentina ETF,ETF,Argentina,America Latina,Argentina,etf,etfs
000001.SS,BOVA11.SA,0.1064987223806955,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares Ibovespa ETF,ETF,Brasil Broad Market,Brasil,Brasil,etf,etfs
000001.SS,BRL=X,0.5450254286911486,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,USDBRL,FX,Cambio,Brasil,Brasil,cambio,alternativos
000001.SS,BTC-USD,0.1648872794827319,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Bitcoin USD,Crypto,Bitcoin,Global,Global,cripto,alternativos
000001.SS,BZ=F,0.2608180126730787,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,Brent Crude Oil,Commodity,Petroleo,Global,Global,commodity,alternativos
000001.SS,ECH,0.3881115352892287,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Chile ETF,ETF,Chile,America Latina,Chile,etf,etfs
000001.SS,ENZL,0.43497262866887987,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI New Zealand ETF,ETF,Nova Zelandia,Oceania,Nova Zelandia,etf,etfs
000001.SS,EWA,0.4223888576010408,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Australia ETF,ETF,Australia,Oceania,Australia,etf,etfs
000001.SS,EWG,0.4155890696064737,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Germany ETF,ETF,Alemanha,Europa,Alemanha,etf,etfs
000001.SS,EWH,0.5446141031475534,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Hong Kong ETF,ETF,Hong Kong,Asia,Hong Kong,etf,etfs
000001.SS,EWJ,0.4572107437954782,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Japan ETF,ETF,Japao,Asia,Japao,etf,etfs
000001.SS,EWT,0.46528996651166576,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs
000001.SS,EWU,0.45343617495565997,diaria,total,Shanghai Composite,Equity Index,Broad Market,Asia,China,indice,indices,iShares MSCI United Kingdom ETF,ETF,Reino Unido,Europa,Reino Unido,etf,etfs
